INSERT INTO `penduduk`(`id`, `nama`, `tanggal_lahir`, `tempat_lahir`, `jenis_kelamin`, `hubungan_keluarga`, `golongan_darah`, `agama`, `wni`, `status_perkawinan`, `pekerjaan`, `pendidikan`, `id_izin_tetap`, `id_passport`, `created_at`, `status`) VALUES ('3','Johan Adi Agusalim','1974-12-14','0','P','Anak','A','Khonghucu','0','Belum Kawin','mahasiswa','S2','33','3',CURRENT_TIMESTAMP, 1);
INSERT INTO `penduduk`(`id`, `nama`, `tanggal_lahir`, `tempat_lahir`, `jenis_kelamin`, `hubungan_keluarga`, `golongan_darah`, `agama`, `wni`, `status_perkawinan`, `pekerjaan`, `pendidikan`, `id_izin_tetap`, `id_passport`, `created_at`, `status`) VALUES ('4','Sudirman Putra Tan','1975-6-21','0','L','Anak','B','Hindu','1','Belum Kawin','tentara','S2','44','4',CURRENT_TIMESTAMP, 1);
INSERT INTO `penduduk`(`id`, `nama`, `tanggal_lahir`, `tempat_lahir`, `jenis_kelamin`, `hubungan_keluarga`, `golongan_darah`, `agama`, `wni`, `status_perkawinan`, `pekerjaan`, `pendidikan`, `id_izin_tetap`, `id_passport`, `created_at`, `status`) VALUES ('5','Tanto Fang','1991-1-12','0','P','Anak','B','Katolik','0','Belum Kawin','tentara','S1','55','5',CURRENT_TIMESTAMP, 1);
INSERT INTO `penduduk`(`id`, `nama`, `tanggal_lahir`, `tempat_lahir`, `jenis_kelamin`, `hubungan_keluarga`, `golongan_darah`, `agama`, `wni`, `status_perkawinan`, `pekerjaan`, `pendidikan`, `id_izin_tetap`, `id_passport`, `created_at`, `status`) VALUES ('6','Gunadi Tengfei','1975-3-13','0','L','Anak','O','Islam','0','Belum Kawin','mahasiswa','SMA','66','6',CURRENT_TIMESTAMP, 1);
INSERT INTO `penduduk`(`id`, `nama`, `tanggal_lahir`, `tempat_lahir`, `jenis_kelamin`, `hubungan_keluarga`, `golongan_darah`, `agama`, `wni`, `status_perkawinan`, `pekerjaan`, `pendidikan`, `id_izin_tetap`, `id_passport`, `created_at`, `status`) VALUES ('7','Maaiz Mainaky','1995-8-20','0','P','Anak','O','Khonghucu','0','Belum Kawin','dokter','S1','77','7',CURRENT_TIMESTAMP, 1);
INSERT INTO `penduduk`(`id`, `nama`, `tanggal_lahir`, `tempat_lahir`, `jenis_kelamin`, `hubungan_keluarga`, `golongan_darah`, `agama`, `wni`, `status_perkawinan`, `pekerjaan`, `pendidikan`, `id_izin_tetap`, `id_passport`, `created_at`, `status`) VALUES ('8','Apollos Maha','1971-10-17','0','L','Anak','O','Buddha','0','Belum Kawin','mahasiswa','S1','88','8',CURRENT_TIMESTAMP, 1);
INSERT INTO `penduduk`(`id`, `nama`, `tanggal_lahir`, `tempat_lahir`, `jenis_kelamin`, `hubungan_keluarga`, `golongan_darah`, `agama`, `wni`, `status_perkawinan`, `pekerjaan`, `pendidikan`, `id_izin_tetap`, `id_passport`, `created_at`, `status`) VALUES ('9','Tobias Lumbanbatu','1993-8-18','0','L','Anak','AB','Kristen','0','Belum Kawin','astronot','S2','99','9',CURRENT_TIMESTAMP, 1);
INSERT INTO `penduduk`(`id`, `nama`, `tanggal_lahir`, `tempat_lahir`, `jenis_kelamin`, `hubungan_keluarga`, `golongan_darah`, `agama`, `wni`, `status_perkawinan`, `pekerjaan`, `pendidikan`, `id_izin_tetap`, `id_passport`, `created_at`, `status`) VALUES ('10','Ethan Ndruru','1986-1-23','0','P','Anak','A','Katolik','0','Belum Kawin','tentara','S1','1010','10',CURRENT_TIMESTAMP, 1);
INSERT INTO `penduduk`(`id`, `nama`, `tanggal_lahir`, `tempat_lahir`, `jenis_kelamin`, `hubungan_keluarga`, `golongan_darah`, `agama`, `wni`, `status_perkawinan`, `pekerjaan`, `pendidikan`, `id_izin_tetap`, `id_passport`, `created_at`, `status`) VALUES ('11','Purwodarminto','1980-10-15','0','P','Anak','B','Islam','1','Belum Kawin','tentara','S1','1111','11',CURRENT_TIMESTAMP, 1);
INSERT INTO `penduduk`(`id`, `nama`, `tanggal_lahir`, `tempat_lahir`, `jenis_kelamin`, `hubungan_keluarga`, `golongan_darah`, `agama`, `wni`, `status_perkawinan`, `pekerjaan`, `pendidikan`, `id_izin_tetap`, `id_passport`, `created_at`, `status`) VALUES ('12','Budiono','1974-1-24','0','P','Anak','AB','Katolik','0','Belum Kawin','profesor','SMA','1212','12',CURRENT_TIMESTAMP, 1);
INSERT INTO `penduduk`(`id`, `nama`, `tanggal_lahir`, `tempat_lahir`, `jenis_kelamin`, `hubungan_keluarga`, `golongan_darah`, `agama`, `wni`, `status_perkawinan`, `pekerjaan`, `pendidikan`, `id_izin_tetap`, `id_passport`, `created_at`, `status`) VALUES ('13','Melati Sucianty Yuwono','1996-4-5','0','L','Anak','AB','Khonghucu','0','Belum Kawin','dosen','S1','1313','13',CURRENT_TIMESTAMP, 1);
